id,pca_kernel,gamma,alpha,degree,scale_type,gp_kernel,fit_time,total_time,mre
1,None,None,None,None,standard,"1**2*RBF(length_scale=[1,1,1,1,1,1,1,1,1])+WhiteKernel(noise_level=0.01)",9.226421594619751,9.319753408432007,0.0034253013
2,None,None,None,None,standard,"1**2*Matern(length_scale=[1,1,1,1,1,1,1,1,1],nu=2.5)+WhiteKernel(noise_level=0.01)",15.278064966201782,15.36516547203064,0.002574502
3,None,None,None,None,standard,"1**2*RationalQuadratic(alpha=1,length_scale=1)+WhiteKernel(noise_level=0.01)",6.054171562194824,6.145168304443359,0.0052765007
4,None,None,None,None,standard,"1**2*RBF(length_scale=[1,1,1,1,1,1,1,1,1])+RationalQuadratic(alpha=1,length_scale=1)+WhiteKernel(noise_level=0.01)",31.283174753189087,31.372178316116333,0.0034685887
5,None,None,None,None,standard,"1**2*DotProduct(sigma_0=1)+RBF(length_scale=[1,1,1,1,1,1,1,1,1])+WhiteKernel(noise_level=0.01)",17.15255117416382,17.240309476852417,0.0033093372
6,None,None,None,None,standard,1**2*DotProduct(sigma_0=1)+WhiteKernel(noise_level=0.01),3.5461795330047607,3.6351048946380615,0.05005282
7,None,None,None,None,standard,"1**2*Matern(length_scale=[1,1,1,1,1,1,1,1,1],nu=1.5)+RationalQuadratic(alpha=1,length_scale=1)+WhiteKernel(noise_level=0.01)",34.12744450569153,34.21839427947998,0.0035216194
8,None,None,None,None,minmax,"1**2*RBF(length_scale=[1,1,1,1,1,1,1,1,1])+WhiteKernel(noise_level=0.01)",9.111702919006348,9.201210498809814,0.003052204
9,None,None,None,None,minmax,"1**2*Matern(length_scale=[1,1,1,1,1,1,1,1,1],nu=2.5)+WhiteKernel(noise_level=0.01)",11.754536151885986,11.841533660888672,0.0024477413
10,None,None,None,None,minmax,"1**2*RationalQuadratic(alpha=1,length_scale=1)+WhiteKernel(noise_level=0.01)",5.398615837097168,5.4891252517700195,0.0047985646
11,None,None,None,None,minmax,"1**2*RBF(length_scale=[1,1,1,1,1,1,1,1,1])+RationalQuadratic(alpha=1,length_scale=1)+WhiteKernel(noise_level=0.01)",26.21247673034668,26.307987451553345,0.003086925
12,None,None,None,None,minmax,"1**2*DotProduct(sigma_0=1)+RBF(length_scale=[1,1,1,1,1,1,1,1,1])+WhiteKernel(noise_level=0.01)",19.083276748657227,19.177516222000122,0.0031242385
13,None,None,None,None,minmax,1**2*DotProduct(sigma_0=1)+WhiteKernel(noise_level=0.01),2.273169755935669,2.3641703128814697,0.05043884
14,None,None,None,None,minmax,"1**2*Matern(length_scale=[1,1,1,1,1,1,1,1,1],nu=1.5)+RationalQuadratic(alpha=1,length_scale=1)+WhiteKernel(noise_level=0.01)",27.409217357635498,27.503725051879883,0.003420707
